,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
29,Jeff,2012-07-04,"Chicago, IL",within a few hours,93%,1,Not specified,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,Forest Glen,4,1,1 shared bath,"[""Refrigerator"", ""BBQ grill"", ""Dishwasher"", ""Heating"", ""Shared backyard \u2013 Fully fenced"", ""Dryer"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Wifi \u2013 38 Mbps"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Rice maker"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Indoor fireplace"", ""Blender"", ""Board games"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2013-08-28,2024-09-03,R23000095494,0,2824576,96.0,3.0,41.99405,-87.75746,1.0,1.0,1.0,1.0,70.0,2.0,90,2.0,90.0,2,32,62,337,97.0,7.0,2.0,4.93,4.95,4.97,4.96,4.95,4.83,4.91,0.72
30,Roxane,2012-09-04,"Chicago, IL",within an hour,100%,1,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,8,1,1 private bath,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Wifi"", ""Heating"", ""Dryer"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Outdoor furniture"", ""Air conditioning"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Washer"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Hot water""]",t,2013-06-26,2024-06-20,R21000061018,0,3472696,90.0,7.0,41.99373,-87.68279,2.0,1.0,1.0,1.0,63.0,32.0,120,32.0,120.0,0,0,4,279,30.0,2.0,0.0,4.9,4.97,4.93,4.93,5.0,4.57,4.73,0.22
35,Nejla And Enki,2012-12-29,"Chicago, IL",Not defined,0%,0,Lincoln Park,"['email', 'phone']",t,1,Neighborhood highlights,Lincoln Park,8,1,2.5 baths,"[""Refrigerator"", ""First aid kit"", ""Dishwasher"", ""Heating"", ""Free dryer \u2013 In unit"", ""Stove"", ""Indoor fireplace: wood-burning"", ""Shampoo"", ""Hangers"", ""Oven"", ""Private entrance"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Outdoor dining area"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""HDTV with Netflix"", ""City skyline view"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Fast wifi \u2013 276 Mbps"", ""Host greets you"", ""Courtyard view"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2013-07-23,2024-09-12,R21000072699,0,4525503,100.0,2.0,41.92218,-87.66079,2.0,2.5,3.0,1.0,85.0,2.0,1125,2.0,1125.0,2,3,3,167,155.0,12.0,1.0,4.93,4.94,4.94,4.96,4.96,4.95,4.9,1.14
36,Colleen,2012-10-30,"Chicago, IL",Not defined,0%,0,Logan Square,"['email', 'phone']",t,1,Neighborhood highlights,Logan Square,4,1,1 private bath,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Private entrance"", ""Lockbox"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Indoor fireplace"", ""Kitchen"", ""Shared patio or balcony"", ""Microwave"", ""Hot water""]",t,2013-06-24,2020-02-16,R17000015433,0,4019426,96.0,1.0,41.92708,-87.71212,2.0,1.0,1.0,1.0,110.0,32.0,1125,32.0,1125.0,0,0,0,228,144.0,0.0,0.0,4.99,4.98,4.99,4.99,4.99,4.94,4.89,1.05
38,Samantha,2013-02-08,"Chicago, IL",Not defined,0%,0,Garfield Park,"['email', 'phone']",t,1,Neighborhood highlights,East Garfield Park,4,1,1.5 shared baths,"[""Refrigerator"", ""First aid kit"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Air conditioning"", ""Long term stays allowed"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Indoor fireplace"", ""Kitchen"", ""Hot water""]",t,2013-05-20,2018-11-02,R17000015264,0,5015135,96.0,1.0,41.88538,-87.69801,2.0,1.5,1.0,1.0,136.0,32.0,1125,32.0,1125.0,27,57,87,362,22.0,0.0,0.0,4.91,4.82,4.86,5.0,4.95,4.9,4.77,0.16
41,Lois And Eduardo,2013-02-13,"Chicago, IL",within an hour,100%,1,Rogers Park,"['email', 'phone']",t,1,Neighborhood highlights,Rogers Park,4,1,1.5 shared baths,"[""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Private entrance"", ""Air conditioning"", ""Washer"", ""Conditioner"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Hot water""]",t,2013-04-15,2024-09-15,R17000015436,1,5076708,99.0,4.0,42.00588,-87.66853,2.0,1.5,1.0,1.0,89.0,2.0,90,2.0,1125.0,17,26,45,320,31.2,30.0,4.0,4.98,4.98,4.98,4.98,4.98,4.94,4.96,2.39
42,Lois And Eduardo,2013-02-13,"Chicago, IL",within an hour,100%,1,Rogers Park,"['email', 'phone']",t,1,No specified,Rogers Park,4,1,1.5 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Central heating"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Patio or balcony"", ""Central air conditioning"", ""Free washer \u2013 In building"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Hot water""]",t,2013-05-09,2024-09-14,R17000015436,1,5076708,99.0,4.0,42.00477,-87.66842,2.0,1.5,1.0,1.0,79.0,2.0,90,2.0,1125.0,5,12,31,306,31.2,36.0,1.2,4.98,4.98,4.99,4.99,4.99,4.88,4.94,2.65
43,Lois And Eduardo,2013-02-13,"Chicago, IL",within an hour,100%,1,Rogers Park,"['email', 'phone']",t,1,No specified,Rogers Park,4,1,1.5 shared baths,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Private entrance"", ""Central air conditioning"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Hot water""]",t,2013-04-09,2024-09-15,R17000015436,1,5076708,99.0,4.0,42.00378,-87.66807,2.0,1.5,1.0,2.0,79.0,2.0,90,2.0,1125.0,0,0,0,0,31.2,28.0,4.0,4.93,4.95,4.96,4.98,4.97,4.83,4.95,2.4
50,Sharon,2013-06-24,"Chicago, IL",within a few hours,67%,0,Little Italy/UIC,"['email', 'phone']",t,1,Neighborhood highlights,Near West Side,4,1,1 bath,"[""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Free parking on premises"", ""Hair dryer"", ""Essentials"", ""Indoor fireplace"", ""Wifi"", ""Iron"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Dedicated workspace"", ""Kitchen"", ""Carbon monoxide alarm""]",t,2013-09-03,2024-08-11,R17000015307,0,7089017,100.0,2.0,41.86967,-87.68284,2.0,1.4,1.5,2.1,149.0,32.0,1125,32.0,1125.0,11,25,55,330,125.0,4.0,0.0,4.65,4.8,4.88,4.61,4.68,4.6,4.6,0.93
52,Gabrielle,2012-07-26,"Chicago, IL",within an hour,100%,1,Logan Square,"['email', 'phone']",t,1,Neighborhood highlights,Logan Square,4,1,1 private bath,"[""Shower gel"", ""Bidet"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Wifi"", ""Heating"", ""Lock on bedroom door"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Room-darkening shades"", ""TV"", ""Outdoor furniture"", ""Central air conditioning"", ""Hot water kettle"", ""Body soap"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Iron"", ""Fire extinguisher"", ""Mini fridge"", ""Laundromat nearby"", ""Private living room"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Portable fans"", ""Kitchen"", ""Shared patio or balcony"", ""Microwave"", ""Hot water""]",t,2013-09-17,2024-09-14,R23000111151,0,3069675,98.0,1.0,41.91984,-87.68962,2.0,1.0,1.0,1.0,95.0,3.0,7,3.0,7.0,7,21,51,309,31.2,43.0,1.2,4.97,4.97,4.97,5.0,5.0,4.94,4.93,3.44
53,Wrigley Hostel,2013-07-10,"Chicago, IL",Not defined,0%,1,Wrigleyville,"['email', 'phone']",t,1,Neighborhood highlights,Lake View,28,1,11 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Breakfast"", ""Oven"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2014-02-14,2021-05-23,R20000058693,1,7391164,96.0,12.0,41.9459,-87.65461,2.0,1.4,1.0,2.1,95.0,32.0,365,32.0,1125.0,28,28,28,28,40.0,0.0,0.0,4.8,4.58,4.5,4.93,4.9,4.93,4.8,0.31
57,Eric,2013-04-25,"Chicago, IL",within a few hours,100%,1,Beverly,"['email', 'phone']",t,1,Neighborhood highlights,Beverly,16,1,1.5 shared baths,"[""Shower gel"", ""Refrigerator"", ""Backyard"", ""Wifi"", ""Heating"", ""Trader Joe body soap"", ""Clothing storage: walk-in closet"", ""Dining table"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Long term stays allowed"", ""Hot water kettle"", ""Coffee maker"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Window AC unit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Stainless steel stove"", ""Freezer"", ""Portable fans"", ""Shared patio or balcony"", ""Microwave"", ""Hot water""]",t,2013-09-05,2024-08-06,R17000013891,0,6088938,100.0,2.0,41.9,-87.67197,2.0,1.5,1.0,1.0,49.0,32.0,1125,32.0,1125.0,23,46,70,345,31.2,2.0,0.0,4.85,4.89,4.96,4.94,4.94,4.79,4.87,1.49
58,April,2013-08-15,"Chicago, IL",within an hour,100%,1,Pilsen,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,Lower West Side,4,1,1 shared bath,"[""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Central heating"", ""Stove"", ""Dining table"", ""Lock on bedroom door"", ""Coffee"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Room-darkening shades"", ""Paid parking off premises"", ""Central air conditioning"", ""Coffee maker: drip coffee maker, french press"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Free dryer \u2013 In building"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Laundromat nearby"", ""HDTV with Netflix"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Window AC unit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Safe"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2018-01-17,2024-09-02,R21000069179,0,8186262,100.0,2.0,41.85592,-87.66249,4.0,1.0,1.0,1.0,74.0,2.0,120,2.0,1125.0,7,24,41,54,31.2,12.4,3.0,4.9,4.92,4.67,4.98,4.99,4.89,4.88,5.05
