,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate.1,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price.1,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
667,Hana,2015-08-17,"Chicago, IL",within a few hours,100%,100.0,0,Rogers Park,"['email', 'phone']",t,1,Neighborhood highlights,Rogers Park,17,3,1 shared bath,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Dishwasher"", ""Heating"", ""Stove"", ""Exterior security cameras on property"", ""Shampoo"", ""Hangers"", ""Oven"", ""Bathtub"", ""Room-darkening shades"", ""TV"", ""Paid dryer \u2013 In building"", ""Paid parking off premises"", ""Long term stays allowed"", ""Various conditioner"", ""Paid washer \u2013 In building"", ""Coffee maker"", ""Bed linens"", ""Cleaning products"", ""Essentials"", ""Laundromat nearby"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Free street parking"", ""Host greets you"", ""Various body soap"", ""Portable fans"", ""Kitchen"", ""Microwave"", ""Hot water""]",46.0,t,2017-09-17,2024-09-02,R24000119457,0,41690970,100.0,4.0,42.00595,-87.66849,3.0,1.0,1.0,1.0,46.0,3.0,150,3.0,150.0,29,59,89,364,5.0,1.0,1.0,4.8,4.9,4.9,4.9,4.9,4.6,4.8,0.06
847,Wrigley Hostel,2013-07-10,"Chicago, IL",Not defined,0%,0.0,1,Wrigleyville,"['email', 'phone']",t,1,Neighborhood highlights,Lake View,30,3,11.5 shared baths,"[""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Breakfast""]",40.0,t,2018-01-01,2020-09-14,R18000030186,1,7391164,96.0,12.0,41.94587,-87.65463,1.0,1.4,1.0,2.1,40.0,32.0,1125,32.0,812.7,29,59,89,104,24.0,0.0,0.0,4.54,4.5,4.9,4.92,4.79,4.75,4.46,0.29
877,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Central heating"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Pool"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",20.0,t,2018-04-30,2024-08-09,R21000075752,0,2907254,97.0,25.0,42.01653,-87.68778,1.0,2.0,1.0,1.0,20.0,1.0,900,2.0,1125.0,18,48,78,168,86.0,13.0,0.0,4.79,4.86,4.62,4.81,4.94,4.73,4.8,1.11
901,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Central heating"", ""Noise decibel monitors on property"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",18.0,t,2018-02-19,2024-09-09,R21000075752,0,2907254,97.0,25.0,42.01653,-87.68778,2.0,2.0,1.0,1.0,18.0,1.0,900,2.0,1125.0,11,41,71,161,155.0,20.0,4.0,4.81,4.85,4.66,4.87,4.88,4.62,4.85,1.94
902,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Central heating"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",22.0,t,2018-03-02,2024-03-18,R21000075752,0,2907254,97.0,25.0,42.01653,-87.68778,1.0,2.0,1.0,1.0,22.0,1.0,900,2.0,1125.0,0,13,43,133,96.0,1.0,0.0,4.84,4.89,4.7,4.91,4.95,4.83,4.83,1.2
903,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Central heating"", ""Noise decibel monitors on property"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",20.0,t,2018-06-24,2024-08-31,R21000075752,1,2907254,97.0,25.0,42.01653,-87.68778,1.0,2.0,1.0,1.0,20.0,1.0,1125,2.0,1125.0,14,44,74,164,76.0,18.0,3.0,4.83,4.87,4.72,4.93,4.95,4.8,4.87,1.0
912,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,West Englewood,15,3,2 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Oven"", ""Free parking on premises"", ""Patio or balcony"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Baking sheet"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2018-04-29,2024-05-16,R17000014173,0,691000,82.0,37.0,41.77243,-87.67379,1.0,2.0,1.0,0.0,25.0,32.0,1125,32.0,1125.0,29,59,89,364,33.0,1.0,0.0,4.67,4.88,4.48,4.91,4.85,4.9,4.91,0.42
1259,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,West Englewood,15,3,2.5 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Oven"", ""Free parking on premises"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2019-10-15,2023-02-16,R17000014173,0,691000,82.0,37.0,41.77595,-87.65479,4.0,2.5,1.0,3.0,25.0,33.0,1125,33.0,1125.0,29,59,89,364,4.0,0.0,0.0,4.8,4.9,4.9,4.9,4.75,4.9,4.5,0.07
1420,Delia,2015-02-28,"Chicago, IL",within an hour,100%,98.0,0,South Shore,"['email', 'phone']",t,1,Neighborhood highlights,South Shore,38,3,1 shared bath,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Shared gym in building"", ""Building staff"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Exercise equipment"", ""Exterior security cameras on property"", ""Stove"", ""Fire pit"", ""Crib"", ""Free parking on premises"", ""Outdoor furniture"", ""Air conditioning"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Beach essentials"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2019-06-02,2024-09-08,R23000110838,0,28501460,98.0,8.0,41.76437,-87.57332,2.0,1.0,1.0,1.0,25.0,1.0,1125,2.0,1125.0,0,20,50,325,56.0,17.0,1.0,4.52,4.71,4.61,4.73,4.84,4.55,4.7,0.87
1453,Idris,2013-05-18,"Chicago, IL",within an hour,100%,100.0,0,Grand Crossing,"['email', 'phone']",t,1,Neighborhood highlights,Greater Grand Crossing,17,3,1.5 shared baths,"[""Refrigerator"", ""First aid kit"", ""Building staff"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Breakfast"", ""Dove body soap"", ""Hot water"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Room-darkening shades"", ""TV"", ""Hot water kettle"", ""Washer"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Portable air conditioning"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Indoor fireplace"", ""Blender"", ""Safe"", ""Board games"", ""Freezer"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Ping pong table""]",200.0,t,2019-08-04,2023-08-07,R23000108830,0,6452801,100.0,10.0,41.76678,-87.63288,6.0,1.5,1.0,2.1,200.0,2.0,1125,2.0,1125.0,28,58,88,363,9.0,0.0,0.0,4.56,4.67,4.78,4.56,4.9,4.9,4.56,0.14
1497,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,Englewood,15,3,2 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Oven"", ""Free parking on premises"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2019-07-22,2023-04-08,R17000014173,0,691000,82.0,37.0,41.77783,-87.65407,4.0,2.0,1.0,2.0,25.0,32.0,1125,32.0,1125.0,29,59,89,364,8.0,0.0,0.0,4.8,4.9,4.9,4.88,4.9,4.9,4.8,0.13
1756,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,Englewood,15,3,2 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Oven"", ""Free parking on premises"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2021-09-04,2023-11-13,R17000014173,0,691000,82.0,37.0,41.77586,-87.65343,4.0,2.0,1.0,3.0,25.0,32.0,1125,32.0,1125.0,2,32,62,337,5.0,1.0,0.0,4.8,4.9,4.9,4.9,4.9,4.9,4.8,0.14
1757,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,West Englewood,15,3,2 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Oven"", ""Free parking on premises"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2020-02-16,2023-10-03,R17000014173,0,691000,82.0,37.0,41.77553,-87.65523,1.0,2.0,1.0,4.0,25.0,32.0,1125,32.0,1125.0,6,36,66,341,4.0,1.0,0.0,4.5,4.5,4.9,5.0,5.0,4.5,4.75,0.07
1758,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,West Englewood,15,3,2 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Oven"", ""Free parking on premises"", ""Patio or balcony"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",35.0,t,2019-11-03,2021-09-19,R17000014173,0,691000,82.0,37.0,41.7756,-87.65465,6.0,2.0,1.0,3.0,35.0,32.0,60,32.0,60.0,5,35,65,340,7.0,0.0,0.0,4.57,4.71,4.9,4.57,5.0,4.9,4.57,0.12
1794,Idris,2013-05-18,"Chicago, IL",within an hour,100%,100.0,0,Grand Crossing,"['email', 'phone']",t,1,Neighborhood highlights,Greater Grand Crossing,17,3,1 shared bath,"[""Refrigerator"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Wifi"", ""Heating"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Hangers"", ""Free parking on premises"", ""TV"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Portable air conditioning"", ""Iron"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Not fully fenced"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Indoor fireplace: electric"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Breakfast""]",218.0,t,2020-02-18,2022-09-17,R23000108830,0,6452801,100.0,10.0,41.76646,-87.63252,3.0,1.0,1.0,2.0,218.0,2.0,1125,2.0,1125.0,30,60,90,365,13.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.69,5.0,0.23
2759,Sandra,2020-09-11,"Chicago, IL",a few days or more,0%,0.0,0,Lower West Side,"['email', 'phone']",t,1,No specified,Lower West Side,17,3,1 shared bath,"[""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Wifi"", ""Pets allowed"", ""Fire extinguisher"", ""TV"", ""Air conditioning"", ""Outdoor dining area"", ""Dedicated workspace"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",145.0,t,31/12/2030,31/12/2030,Without license,1,367070543,96.0,1.0,41.85312037119142,-87.65597438440942,4.0,1.0,1.0,2.0,145.0,32.0,365,32.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.8,5.0,4.9,4.8,4.95,4.9,4.8,2.32
3208,Andy,2015-10-20,No location,within an hour,100%,83.0,1,South Shore,"['email', 'phone']",t,1,Neighborhood highlights,South Shore,15,3,1 shared bath,"[""Refrigerator"", ""Bikes"", ""First aid kit"", ""Self check-in"", ""Central heating"", ""Noise decibel monitors on property"", ""Coffee maker: pour-over coffee"", ""Exterior security cameras on property"", ""Fire pit"", ""Dining table"", ""Coffee"", ""Hangers"", ""Outdoor furniture"", ""Long term stays allowed"", ""Rice maker"", ""Clothing storage: closet"", ""Fast wifi \u2013 401 Mbps"", ""Books and reading material"", ""Dishes and silverware"", ""Bed linens"", ""Hair dryer"", ""Essentials"", ""Laundromat nearby"", ""Iron"", ""Fire extinguisher"", ""Kitchenette"", ""BBQ grill: charcoal"", ""Carbon monoxide alarm"", ""Piano"", ""Window AC unit"", ""Toaster"", ""Smoke alarm"", ""Exercise equipment: yoga mat"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Blender"", ""Portable heater"", ""Skillet electric stove"", ""Shared backyard \u2013 Fully fenced"", ""Shared patio or balcony"", ""Microwave"", ""Hot water""]",25.0,t,2022-05-24,2024-08-16,R24000117461,0,47056445,83.0,13.0,41.76057,-87.58694,2.0,1.0,1.0,2.0,25.0,1.0,1125,44.1,1125.0,0,15,45,320,15.0,5.0,0.0,4.73,4.53,4.73,4.87,4.87,4.9,4.6,0.53
3265,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Central heating"", ""Noise decibel monitors on property"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",20.0,t,2022-03-15,2023-06-10,R21000075752,0,2907254,97.0,25.0,42.016521,-87.68779,1.0,2.0,1.0,1.0,20.0,1.0,365,2.0,365.0,0,27,57,147,8.0,0.0,0.0,4.63,4.75,4.9,5.0,4.88,4.88,4.38,0.26
3562,Alexandria,2012-02-18,"Chicago, IL",within an hour,100%,67.0,0,Near South Side,"['email', 'phone']",t,1,Neighborhood highlights,Near South Side,17,3,1 shared bath,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Dishwasher"", ""Central heating"", ""Stove"", ""Dining table"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Bathtub"", ""Room-darkening shades"", ""Lake view"", ""TV"", ""Air conditioning"", ""Long term stays allowed"", ""Rice maker"", ""Hot water kettle"", ""Body soap"", ""Elevator"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Dishes and silverware"", ""Laundromat nearby"", ""City skyline view"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Piano"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Blender"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Park view"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",60.0,t,2024-06-19,2024-06-19,Without license,1,1770452,96.0,5.0,41.86641,-87.62329,1.0,1.0,1.0,1.0,60.0,32.0,1125,32.0,1125.0,30,41,41,41,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.33
3886,Nonya,2011-06-11,"Chicago, IL",within an hour,94%,82.0,0,Englewood,"['email', 'phone']",t,1,No specified,South Shore,17,3,1 shared bath,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Dining table"", ""Hangers"", ""Oven"", ""Bathtub"", ""Clothing storage"", ""TV"", ""Air conditioning"", ""Long term stays allowed"", ""Hot water kettle"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave""]",39.0,t,2022-09-30,2022-09-30,R17000014173,0,691000,82.0,37.0,41.76048,-87.57882,1.0,1.0,1.0,1.0,39.0,32.0,365,32.0,365.0,29,59,89,364,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04
4092,Robert,2022-07-19,No location,within an hour,100%,100.0,0,Sheffield & DePaul,['phone'],t,1,Neighborhood highlights,Lincoln Park,15,3,1.5 shared baths,"[""Paid parking on premises"", ""First aid kit"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Air conditioning"", ""Kitchen""]",43.0,t,2022-11-16,2023-08-13,Without license,1,470462049,100.0,6.0,41.92657,-87.65131,1.0,1.5,1.0,1.0,43.0,32.0,180,32.0,1125.0,30,60,90,180,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09
4123,Robert,2022-07-19,No location,within an hour,100%,100.0,0,Sheffield & DePaul,['phone'],t,1,No specified,Lincoln Park,15,3,1.5 shared baths,"[""Smoke alarm"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""TV"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]",31.0,t,2023-08-13,2024-08-09,Without license,1,470462049,100.0,6.0,41.9265729,-87.6513112,1.0,1.5,1.0,1.0,31.0,32.0,150,32.0,1125.0,30,60,90,180,3.0,2.0,0.0,4.8,4.9,4.9,4.9,4.9,4.9,4.8,0.22
4237,Jeff,2014-03-18,"Chicago, IL",within a few hours,100%,71.0,0,South Chicago,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,South Chicago,15,3,1.5 shared baths,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Radiant heating"", ""Stove"", ""Shampoo"", ""Dryer \u2013 In building"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Long term stays allowed"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Wifi \u2013 25 Mbps"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Shared backyard \u2013 Fully fenced"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",25.0,t,2022-10-23,2024-08-05,R22000090299,0,13270940,96.0,7.0,41.9,-87.5656,7.0,1.5,1.0,4.0,25.0,5.0,365,5.0,365.0,18,48,78,353,9.0,5.0,0.0,4.67,4.67,4.9,5.0,5.0,4.78,4.67,0.39
