,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1202,Jorge,2015-11-23,"Mexico City, Mexico",within an hour,100%,0,Santa Fe,"['email', 'phone']",t,1,No specified,Cuajimalpa de Morelos,17,2,1 shared bath,"[""Iron"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Coffee maker"", ""Paid washer \u2013 In unit"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""TV with standard cable"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Fire extinguisher"", ""Paid dryer \u2013 In unit"", ""Free street parking"", ""Microwave"", ""Cooking basics"", ""Building staff""]",t,2017-07-12,2023-12-06,Without license,1,49735631,100.0,26.0,19.36864,-99.2,4.0,1.0,1.0,2.0,918.0,1.0,1125,1.0,365.0,24,48,78,84,13.0,1.0,0.0,4.69,4.85,4.92,4.92,4.92,4.92,4.77,0.15
1461,Carlo,2016-09-21,No location,Not defined,0%,0,Not specified,['phone'],t,0,No specified,Álvaro Obregón,22,2,1 shared bath,"[""Free parking on premises"", ""Pool"", ""Kitchen"", ""Gym"", ""Elevator""]",Unknown,31/12/2030,31/12/2030,Without license,0,96227433,96.3,1.0,19.33279,-99.2,3.0,1.4,1.4,1.8,1058.0,1.0,1125,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.8,4.64,4.9,4.8,4.95,4.9,4.8,1.35
1587,Diego,2016-09-25,"Mexico City, Mexico",within an hour,82%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Iztacalco,57,2,1 shared bath,"[""Extra pillows and blankets"", ""Body soap"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Wifi"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Bed linens"", ""Self check-in"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Dedicated workspace"", ""Smoke alarm"", ""Paid parking off premises""]",t,2016-11-22,2023-11-19,Without license,0,96703748,73.0,7.0,19.39701,-99.2,1.0,1.0,1.0,1.8,250.0,1.0,7,1.0,7.0,30,60,90,90,54.0,1.0,0.0,4.52,4.57,4.8,4.79,4.77,4.65,4.63,0.57
1597,Diego,2016-09-25,"Mexico City, Mexico",within an hour,82%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Iztacalco,17,2,1 shared bath,"[""Carbon monoxide alarm"", ""Wifi"", ""Free carport on premises \u2013 1 space"", ""Patio or balcony"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Smoke alarm""]",t,2017-01-18,2022-11-26,Without license,0,96703748,73.0,7.0,19.39872,-99.2,1.0,1.0,1.0,1.8,250.0,1.0,7,1.0,7.0,30,60,90,90,3.0,0.0,0.0,4.8,4.9,4.9,4.67,4.9,4.9,4.8,0.03
1976,Humberto,2017-01-04,No location,Not defined,0%,0,Not specified,"['email', 'phone']",t,0,No specified,Coyoacán,17,2,1 shared bath,[],Unknown,31/12/2030,31/12/2030,Without license,0,109843622,96.3,3.0,19.4,-99.14869,1.0,1.4,1.4,1.8,2335.0,1.0,1125,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.8,4.93,4.9,4.8,4.94,4.9,4.8,2.65
2073,Israel,2017-04-21,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,0,"Mexico City, Ciudad de México, Mexico",Benito Juárez,22,2,1 shared bath,"[""Self check-in"", ""Smoking allowed"", ""Pets allowed"", ""Building staff""]",Unknown,31/12/2030,31/12/2030,Without license,0,126914120,96.3,1.0,19.36154,-99.15249,2.0,1.4,1.4,1.8,903.0,1.0,1125,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.8,4.92,4.9,4.8,5.0,4.9,4.8,0.08
2188,Nelson,2015-10-25,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,1,No specified,Iztacalco,22,2,1 shared bath,"[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Single level home"", ""Microwave""]",t,2017-11-20,2023-02-27,Without license,0,47398486,100.0,1.0,19.3955,-99.2,2.0,1.0,1.0,2.0,2029.0,2.0,1125,2.0,1125.0,23,53,83,91,16.0,0.0,0.0,4.88,5.0,5.0,5.0,4.94,4.75,4.94,0.19
2264,Roman Ernesto,2016-11-21,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,0,"Mexico City, Ciudad de México, Mexico",Tlalpan,17,2,1.5 shared baths,"[""Washer"", ""Wifi"", ""Cleaning available during stay"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Babysitter recommendations"", ""Pocket wifi"", ""Game console"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Microwave"", ""Cooking basics""]",Unknown,31/12/2030,31/12/2030,Without license,0,104708177,96.3,2.0,19.4,-99.2,2.0,1.4,1.4,1.8,1333.0,1.6,1125,1.8,1125.0,0,0,0,0,0.0,0.0,0.0,4.8,5.0,4.9,4.8,5.0,4.9,4.8,0.04
2506,Nathan,2017-09-06,No location,Not defined,0%,0,Not specified,"['email', 'phone']",t,0,No specified,Miguel Hidalgo,22,2,1 shared bath,"[""Wifi"", ""Kitchen"", ""Hangers""]",Unknown,2017-11-20,2017-11-20,Without license,0,149455836,96.3,3.0,19.44434,-99.16704,2.0,1.4,1.4,1.8,1265.0,2.0,6,2.0,6.0,0,0,0,0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01
2591,Luis,2014-05-04,"Mexico City, Mexico",Not defined,0%,0,Not specified,['email'],t,0,"Mexico City, Ciudad de México, Mexico",Venustiano Carranza,22,2,1 shared bath,"[""Washer"", ""TV"", ""Wifi"", ""Heating"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Microwave"", ""Smoking allowed""]",Unknown,31/12/2030,31/12/2030,Without license,0,15072544,96.3,1.0,19.40979,-99.1246,1.0,1.4,1.4,1.8,1372.0,1.0,1125,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.8,4.87,4.9,4.8,4.84,4.9,4.8,1.37
2678,Shannthall,2015-07-25,"Mexico City, Mexico",within a few hours,96%,0,Not specified,"['email', 'phone']",t,1,No specified,Venustiano Carranza,22,2,1 shared bath,"[""Iron"", ""Hair dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hot water"", ""Dedicated workspace"", ""Cooking basics"", ""Hangers""]",t,2017-11-20,2024-09-21,Without license,0,39532020,63.0,8.0,19.40829,-99.2,1.0,1.0,1.0,1.0,600.0,2.0,1125,1.0,1125.0,24,53,83,358,8.0,1.0,1.0,4.75,4.88,4.88,5.0,4.88,5.0,4.75,0.1
2753,Ramón,2017-11-17,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",f,0,"Mexico City, Ciudad de México, Mexico",Miguel Hidalgo,57,2,1 shared bath,"[""Iron"", ""Washer"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Pets allowed""]",Unknown,31/12/2030,31/12/2030,Without license,0,159050197,96.3,1.0,19.44392,-99.17965,1.0,1.4,1.4,1.8,1778.0,1.6,10,1.8,10.0,0,0,0,0,0.0,0.0,0.0,4.8,4.96,4.9,4.8,4.94,4.9,4.8,0.21
3332,Ignacio,2017-02-02,"Mexico City, Mexico",within a few hours,75%,0,Chapultepec Morales,"['email', 'phone', 'work_email']",t,1,No specified,Miguel Hidalgo,22,2,1 shared bath,"[""Dryer"", ""Iron"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Breakfast"", ""Host greets you"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Hair dryer""]",t,2018-09-29,2019-10-19,Without license,0,114584959,67.0,12.0,19.44803,-99.18615,1.0,1.0,1.0,1.0,413.0,1.0,60,1.0,60.0,28,58,88,363,8.0,0.0,0.0,4.88,4.38,4.88,4.63,4.88,4.63,4.88,0.11
3437,Victor,2016-06-10,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Tlalpan,17,2,1.5 shared baths,"[""Free parking on premises"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Gym"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Hangers""]",t,31/12/2030,31/12/2030,Without license,0,76924488,96.3,2.0,19.4,-99.17713,1.0,1.5,1.0,1.0,350.0,3.0,20,3.0,20.0,30,60,90,365,0.0,0.0,0.0,4.8,4.88,4.9,4.8,4.96,4.9,4.8,0.35
3766,Karina,2015-12-15,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,0,No specified,Venustiano Carranza,90,2,1 shared bath,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Gym"", ""Essentials"", ""Shampoo"", ""Hangers"", ""Hair dryer""]",Unknown,31/12/2030,31/12/2030,Without license,0,51376081,96.3,4.0,19.41982,-99.2,2.0,1.4,1.4,1.8,1086.0,1.0,15,1.0,15.0,0,0,0,0,0.0,0.0,0.0,4.8,4.71,4.9,4.8,4.94,4.9,4.8,3.11
3788,David,2015-05-08,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuajimalpa de Morelos,57,2,1 shared bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Free parking on premises"", ""Coffee maker"", ""Backyard"", ""Breakfast"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Game console"", ""Patio or balcony"", ""Bed linens"", ""Extra pillows and blankets"", ""Smoking allowed"", ""Single level home""]",t,31/12/2030,31/12/2030,Without license,0,32929125,96.3,2.0,19.4,-99.2,3.0,1.0,1.0,2.0,1300.0,1.0,7,1.0,7.0,30,60,90,365,0.0,0.0,0.0,4.8,4.61,4.9,4.8,4.95,4.9,4.8,4.51
3914,Oscar Andrés,2018-08-10,"Mexico City, Mexico",Not defined,0%,0,Not specified,['phone'],t,0,No specified,La Magdalena Contreras,17,2,2 shared baths,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Free parking on premises"", ""Indoor fireplace"", ""Exterior security cameras on property"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hangers"", ""Smoking allowed"", ""Hair dryer""]",Unknown,31/12/2030,31/12/2030,Without license,0,208712604,96.3,1.0,19.4,-99.2,1.0,1.4,1.4,1.8,420.0,1.0,6,1.0,6.0,0,0,0,0,0.0,0.0,0.0,4.8,4.75,4.9,4.8,4.77,4.9,4.8,0.18
4190,Ignacio,2017-02-02,"Mexico City, Mexico",within a few hours,75%,0,Chapultepec Morales,"['email', 'phone', 'work_email']",t,1,No specified,Miguel Hidalgo,22,2,1 shared bath,"[""Dryer"", ""Iron"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Breakfast"", ""Host greets you"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Hair dryer""]",t,2018-10-28,2022-11-20,Without license,0,114584959,67.0,12.0,19.44809,-99.18555,1.0,1.0,1.0,1.0,413.0,1.0,60,1.0,60.0,30,60,90,365,11.0,0.0,0.0,4.64,4.64,4.64,4.9,4.55,4.64,4.64,0.15
4982,Edmundo,2019-03-05,"Ciudad de México, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,1,No specified,Coyoacán,22,2,1 shared bath,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Hangers""]",t,31/12/2030,31/12/2030,Without license,0,246924406,96.3,2.0,19.4,-99.17269,6.0,1.0,3.0,6.0,1058.0,1.6,180,1.8,180.0,30,60,90,365,0.0,0.0,0.0,4.8,4.45,4.9,4.8,4.81,4.9,4.8,1.17
4992,Casa Mx,2019-02-20,"Mexico City, Mexico",within an hour,94%,0,Guerrero,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19,2,1.5 shared baths,"[""Shared patio or balcony"", ""Wifi"", ""Paid washer \u2013 In building"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Carbon monoxide alarm"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dining table"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Shared outdoor kitchen"", ""Bed linens"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Fire extinguisher"", ""Room-darkening shades"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Cooking basics"", ""Paid parking off premises"", ""Microwave""]",t,2019-03-28,2023-01-16,Without license,1,244321663,99.0,16.0,19.44051551818848,-99.14479064941406,1.0,1.5,1.0,1.0,305.0,1.0,1125,1.0,1125.0,29,59,86,255,22.0,0.0,0.0,4.5,4.77,4.9,4.91,4.59,4.68,4.59,0.33
4993,Casa Mx,2019-02-20,"Mexico City, Mexico",within an hour,94%,0,Guerrero,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19,2,1.5 shared baths,"[""Shared patio or balcony"", ""Wifi"", ""Paid washer \u2013 In building"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Carbon monoxide alarm"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Shared outdoor kitchen"", ""Bed linens"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Fire extinguisher"", ""Room-darkening shades"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",t,2019-03-10,2024-05-15,Without license,1,244321663,99.0,16.0,19.440019607543945,-99.14488220214844,1.0,1.5,1.0,1.0,246.0,1.0,1125,1.0,1125.0,28,57,84,253,82.0,13.0,0.0,4.6,4.68,4.9,4.76,4.62,4.73,4.65,1.21
4994,Casa Mx,2019-02-20,"Mexico City, Mexico",within an hour,94%,0,Guerrero,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19,2,1 shared bath,"[""Shared patio or balcony"", ""Wifi"", ""Paid washer \u2013 In building"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Coffee maker"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Shared outdoor kitchen"", ""Bed linens"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Fire extinguisher"", ""Room-darkening shades"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",t,2019-03-19,2024-07-13,Without license,1,244321663,99.0,16.0,19.44004440307617,-99.14469146728516,1.0,1.0,1.0,1.0,301.0,1.0,1125,1.0,1125.0,28,56,83,252,90.0,5.0,0.0,4.66,4.74,4.49,4.86,4.58,4.73,4.68,1.34
4995,Casa Mx,2019-02-20,"Mexico City, Mexico",within an hour,94%,0,Guerrero,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19,2,1.5 shared baths,"[""Wifi"", ""Private patio or balcony"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Exercise equipment"", ""Building staff"", ""Blender"", ""Carbon monoxide alarm"", ""Backyard"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dining table"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Bed linens"", ""Kitchen"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Room-darkening shades"", ""Gym"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",t,2019-03-23,2024-09-03,Without license,1,244321663,99.0,16.0,19.440166473388672,-99.14458465576172,1.0,1.5,1.0,1.0,197.0,1.0,1125,1.0,1125.0,27,56,83,252,125.0,10.9,1.0,4.53,4.59,4.9,4.76,4.6,4.65,4.69,1.86
4997,Casa Mx,2019-02-20,"Mexico City, Mexico",within an hour,94%,0,Guerrero,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19,2,1.5 shared baths,"[""Shared patio or balcony"", ""Wifi"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Self check-in"", ""Building staff"", ""Blender"", ""Carbon monoxide alarm"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dining table"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Shared outdoor kitchen"", ""Bed linens"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Fire extinguisher"", ""Room-darkening shades"", ""Paid dryer \u2013 In building"", ""Gym"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Paid parking off premises"", ""Microwave""]",t,2019-03-31,2024-09-08,Without license,1,244321663,99.0,16.0,19.44007110595703,-99.14483642578124,1.0,1.5,1.0,1.0,197.0,1.0,1125,1.0,1125.0,28,58,85,254,40.0,33.0,3.0,4.8,4.5,4.9,4.78,4.6,4.63,4.63,0.6
5009,Ma. De Los Angeles,2018-11-06,"Mexico City, Mexico",within an hour,100%,0,Roma Sur,['phone'],t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,22,2,1 shared bath,"[""TV"", ""Wifi"", ""Backyard"", ""Patio or balcony"", ""Host greets you"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Elevator"", ""Cooking basics"", ""Hangers""]",t,2023-02-19,2024-02-26,Without license,1,224496196,100.0,12.0,19.40444,-99.16269,2.0,1.0,1.0,2.0,166.0,1.0,1125,1.0,1125.0,0,23,53,328,5.0,1.0,0.0,4.8,4.9,4.9,4.9,4.9,4.9,4.8,0.26
