,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
718,Enrique Y Ricardo,2014-05-07,"Mexico City, Mexico",within an hour,99%,0,Polanco,"['email', 'phone', 'work_email']",t,1,"Mexico City, Distrito Federal, Mexico",Miguel Hidalgo,33,3,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Pets allowed"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Crib"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Dedicated workspace"", ""Cooking basics"", ""Building staff""]",t,2016-04-09,2023-09-24,Without license,1,15219834,96.0,30.0,19.40034,-99.2,2.0,1.0,1.0,1.0,1219.0,2.0,1125,1.6,99.0,18,47,77,205,41.0,0.0,0.0,4.8,4.88,4.93,4.83,4.78,4.95,4.73,0.4
940,Israel,2016-03-23,"Ciudad de Mexico, Mexico",within an hour,100%,1,Polanco,"['email', 'phone', 'work_email']",t,1,"Mexico City, Distrito Federal, Mexico",Miguel Hidalgo,33,3,2 baths,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Heating"", ""Bathtub"", ""Self check-in"", ""Pets allowed"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",t,2016-10-31,2024-06-29,Without license,1,64224416,98.0,2.0,19.4298,-99.19414,4.0,2.0,2.0,3.0,1058.0,1.0,1125,1.0,1125.0,23,48,75,350,64.0,15.0,0.0,4.89,4.89,4.88,4.95,4.86,4.97,4.73,0.67
952,Thor,2015-06-09,"Mexico City, Mexico",within a few hours,100%,0,Polanco,"['email', 'phone']",t,1,"Colonia Juárez, Distrito Federal, Mexico",Cuauhtémoc,42,3,0 zero,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",t,31/12/2030,31/12/2030,Without license,1,35406862,96.3,7.3,19.42456,-99.17179,2.9,1.4,1.4,1.8,1058.0,1.0,1125,1.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.8,4.78,4.9,4.8,5.0,4.9,4.8,0.1
954,Thor,2015-06-09,"Mexico City, Mexico",within a few hours,100%,0,Polanco,"['email', 'phone']",t,1,"Colonia Juárez, Distrito Federal, Mexico",Cuauhtémoc,33,3,0 zero,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Dryer"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",t,2018-02-08,2018-05-27,Without license,0,35406862,96.3,7.3,19.42543,-99.17176,2.9,1.4,1.4,1.8,1058.0,1.0,1125,1.0,1125.0,30,60,90,365,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
1187,Joaquin,2016-06-18,"Mexico City, Mexico",within an hour,100%,1,Hipódromo,"['email', 'phone', 'work_email']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,33,3,1 private bath,"[""Iron"", ""Wifi"", ""Exterior security cameras on property"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Hot water"", ""TV with standard cable"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Stove"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Elevator"", ""Dedicated workspace"", ""Cooking basics""]",t,2018-10-03,2024-09-02,Without license,0,78456925,100.0,7.0,19.40315,-99.17053,2.0,1.0,1.0,1.0,425.0,3.0,1125,3.0,1125.0,2,25,41,304,27.0,28.0,1.0,4.85,4.91,4.9,4.94,4.94,4.94,4.9,1.99
1709,Adrian,2016-08-29,"Mexico City, Mexico",within a day,58%,0,Florida/Axotla,"['email', 'phone', 'work_email']",t,1,"Mexico City, Ciudad de México, Mexico",Álvaro Obregón,24,3,1 private bath,"[""Iron"", ""Carbon monoxide alarm"", ""TV"", ""Wifi"", ""Heating"", ""Kitchen"", ""Dishes and silverware"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Hangers"", ""Building staff"", ""Smoke alarm"", ""Hair dryer"", ""Microwave""]",t,2019-03-06,2024-08-11,Without license,1,92520916,100.0,9.0,19.35765,-99.17713,1.0,1.0,1.0,1.0,749.0,1.0,1125,1.0,1125.0,30,60,90,365,33.0,3.0,0.0,4.52,4.48,4.64,4.73,4.7,4.73,4.45,0.49
1760,Adrián,2017-01-10,"Mexico City, Mexico",within a few hours,100%,0,Campestre/Guadalupe Inn,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Álvaro Obregón,15,3,1 private bath,"[""Iron"", ""Hair dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Kitchen"", ""Long term stays allowed"", ""Self check-in"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Paid parking off premises"", ""Cooking basics"", ""Lockbox"", ""Hangers""]",t,2017-02-19,2023-11-26,Without license,1,110805631,89.0,15.0,19.36133,-99.18829,6.0,1.4,1.0,1.8,908.0,1.0,30,1.0,1125.0,30,60,90,365,24.0,1.0,0.0,4.8,4.71,4.71,4.79,4.67,4.92,4.58,0.26
1906,Thor,2015-06-09,"Mexico City, Mexico",within a few hours,100%,0,Polanco,"['email', 'phone']",t,1,"Colonia Juárez, Ciudad de México, Mexico",Cuauhtémoc,33,3,46 baths,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Paid parking off premises"", ""Building staff""]",t,31/12/2030,31/12/2030,Without license,1,35406862,96.3,7.3,19.42632,-99.17102,2.9,1.4,1.4,1.8,1058.0,1.0,1125,1.3,1125.0,30,60,90,365,0.0,0.0,0.0,4.8,4.8,4.9,4.8,4.96,4.9,4.8,0.56
2347,Suites,2017-07-19,"Mexico City, Mexico",within a day,100%,0,Polanco,"['email', 'phone', 'work_email']",t,1,No specified,Miguel Hidalgo,33,3,2 shared baths,"[""Iron"", ""Washer"", ""Elevator"", ""High chair"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Fire extinguisher"", ""Gym"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2017-10-29,2021-11-06,Without license,1,141354058,100.0,4.0,19.42723,-99.19667,4.0,1.4,2.0,1.8,1411.0,1.0,115,1.0,1125.0,19,42,72,347,11.0,0.0,0.0,4.82,4.91,4.91,5.0,5.0,5.0,4.64,0.13
2908,Eliana,2017-12-18,"Mexico City, Mexico",Not defined,0%,0,Nápoles,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Benito Juárez,33,3,2 baths,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Private patio or balcony"", ""Heating"", ""Freezer"", ""Laundromat nearby"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Pets allowed"", ""Portable fans"", ""Hangers"", ""Free parking on premises"", ""Body soap"", ""Children\u2019s dinnerware"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Shower gel"", ""Dryer"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Babysitter recommendations"", ""Coffee"", ""Kitchen"", ""Board games"", ""Oven"", ""Books and reading material"", ""Stove"", ""Cleaning products"", ""Room-darkening shades"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Hair dryer""]",t,2019-08-31,2019-08-31,Without license,1,163184238,96.3,1.0,19.39551,-99.17638,4.0,1.4,2.0,1.8,1593.0,1.0,1125,1.0,1125.0,29,59,89,89,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
3172,Mega,2017-10-24,"Mexico City, Mexico",within an hour,100%,0,Juárez,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,24,3,1 shared bath,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""TV"", ""Hot tub"", ""Kitchen"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",t,2018-04-01,2024-08-22,Without license,1,156085152,99.0,7.3,19.42498,-99.16867,2.0,1.0,1.0,1.0,1990.0,1.0,1125,1.0,1125.0,28,49,79,354,15.0,1.0,0.0,4.8,4.9,4.8,4.6,4.73,5.0,4.8,0.19
3197,Charlic,2022-10-31,No location,within an hour,100%,1,Not specified,['phone'],t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,33,3,1 shared bath,"[""Pool"", ""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Hot tub"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Clothing storage"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2018-03-30,2023-08-27,Without license,0,485786839,97.0,11.0,19.42565,-99.1697,2.0,1.0,0.0,1.0,1990.0,1.0,1125,1.0,1125.0,29,49,79,354,11.0,0.0,0.0,4.8,4.9,4.91,4.55,4.64,4.91,4.8,0.14
3199,Charlic Isaac,2022-07-23,No location,within an hour,100%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,33,3,1 bath,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Hot tub"", ""Kitchen"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Single level home"", ""Hair dryer""]",t,2018-03-31,2023-08-27,Without license,0,471157218,100.0,7.0,19.42658,-99.17046,2.0,1.0,0.0,1.0,1990.0,1.0,1125,1.0,1125.0,28,49,79,354,14.0,0.0,0.0,4.93,4.71,5.0,4.86,5.0,5.0,4.64,0.18
3200,Charligisaac,2022-12-19,"Mexico City, Mexico",within an hour,100%,1,Chapultepec Morales,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,33,3,1 bath,"[""Pool"", ""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Paid parking off premises"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Clothing storage"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2018-06-02,2023-08-27,Without license,1,492066501,99.0,25.0,19.42516,-99.16868,2.0,1.0,0.0,1.0,1990.0,1.0,1125,1.0,1125.0,28,49,79,354,14.0,0.0,0.0,4.8,4.9,4.57,4.9,4.9,4.64,4.43,0.18
3201,Charlic,2022-10-31,No location,within an hour,100%,1,Not specified,['phone'],t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,33,3,1 bath,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Elevator"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Self check-in"", ""Gym"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Building staff""]",t,2018-03-27,2023-08-27,Without license,0,485786839,97.0,11.0,19.42595,-99.16855,2.0,1.0,0.0,1.0,1990.0,1.0,1125,1.0,1125.0,28,49,79,354,17.0,0.0,0.0,4.59,4.47,4.65,4.65,4.94,4.88,4.41,0.21
3862,Yovanni,2018-02-23,"Mexico City, Mexico",within an hour,100%,1,Not specified,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Iztacalco,33,3,1 shared bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Freezer"", ""Pantene shampoo"", ""Laundromat nearby"", ""Host greets you"", ""Refrigerator"", ""Mosquito net"", ""Ethernet connection"", ""Dishes and silverware"", ""Indoor fireplace: electric"", ""Blender"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Shower gel"", ""Dove Body Wash body soap"", ""Outdoor playground"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""32 inch HDTV with standard cable"", ""Coffee"", ""Bed linens"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Other gas stove"", ""Oven"", ""Rice maker"", ""Outdoor dining area"", ""Books and reading material"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Outlet covers"", ""Cleaning products"", ""Room-darkening shades"", ""Wine glasses"", ""Pantene conditioner"", ""Free street parking"", ""Fast wifi \u2013 115 Mbps"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",t,2018-08-22,2024-09-23,Without license,0,175000876,100.0,5.0,19.40179,-99.2,2.0,1.4,1.0,1.8,233.0,1.0,1125,1.0,1125.0,25,47,77,148,65.0,9.0,1.0,4.92,4.88,4.82,4.94,4.94,4.89,4.72,0.88
